,video_ID,video_title,video_publishTime
95,LYs4b3fTX7Y,Why is OLA&#39;s BUSINESS MODEL Failing MISERABLY in India? : Business case study,2022-06-26
96,9SmS3qLe00k,How JAPAN&#39;s SECRET STRATEGY made it SUPER RICH even after USA&#39;s Nuclear Attack? | Lessons for India,2022-07-01
97,3tVoKZ5pHMU,Indian Education System EXPOSED &amp; How can we fix it? (Rant by an Engineering College Student),2020-07-28
98,OO_t9KhVg0U,How China’s SPY SHIP STRATEGY  is Killing India’s Security? : Geopolitics Casestudy,2022-08-27
99,fTuVWwTQegQ,How could Zomato become Profitable? : Understanding the future of Foodtech in India,2021-07-09
100,EdpoEmifW7M,How 7 Mumbai-based women Entrepreneurs made a 1600 Cr empire from 80Rs | Lijjat Papad Case Study,2021-05-18
101,wAHSJgIx5wA,How did Johnnie Walker keep walking for more than 200 years? : Marketing Case Study,2021-06-01
102,Rh30CfP7ncA,Why NITIN GADKARI is pushing GREEN HYDROGEN for Indian Industries : Green Hydrogen Case study,2022-04-29
103,upoKb50FiC4,Mensa&#39;s GENIUS E-Commerce strategy that made it the fastest unicorn in Indian BUSINESS HISTORY,2021-12-31
104,nEBVXO8xnFs,How DUBAI&#39;s Secret STRATEGY made it SUPER RICH &amp; SUPER POWERFUL? : Dubai Growth case study,2022-05-07
105,GTv4ixuAU3k,Learn to Speak English Fluently for FREE in the most practical way possible,2021-05-04
106,vguLPoLiFNg,Zerodha Case Study: Bootstrapped to Billion dollar valuation startup without advertisements!,2021-03-13
107,yPo7mq27jEg,Why Indian states are going BANKRUPT like SRI LANKA? :  RBI Case study EXPLAINED,2022-07-12
108,odPwOQI_O0Q,Train your mind to never get nervous in any situation  (Practical Steps),2020-08-16
109,WP0X1R_z7yI,How TATA motors&#39; GENIUS STRATEGY is racing it past Hyundai &amp; Suzuki in India? : Business Case study,2022-07-19
110,FxiZRYJTEo0,What India needs to learn from the Chinese Economic Crisis? : Chinese Evergrande Crisis,2022-07-26
111,ON-vFJbq1Vc,Decoding ZARA&#39;s Billion Dollar Business STRATEGY : Fashion Business Case Study,2021-08-27
112,cWsxSP3KGvs,Can India&#39;s National Education Policy (NEP 2020) transform the Indian Education System? (EXPLAINED),2020-08-06
113,tgFEFEOisAI,Why US-China are preparing for WAR over Taiwan? : Geopolitical Case study (Recap Episode),2022-08-02
114,k--beE42aDs,How to Read effectively like a CEO? (NOT Speed Reading),2021-03-26
115,HFzSK32G4OU,Business War: Spotify vs Apple Music vs YouTube Music,2021-07-20
116,6DEOW9ZQ2BI,NIKE&#39;s Unusual Business Strategy to to Market itself &amp; make Billions? (Business STRATEGY Case Study),2021-10-19
117,LwnApD9YXNY,Why BUY NOW PAY LATER Cards are facing the heat from the Regulators? : DARK side of BNPL,2022-07-05
118,3rHfD9IB-24,Think School&#39;s Youtube STRATEGY to go from 0 to 1 Million subscribers | Think School Case Study,2022-03-01
119,sZmNdXZjKgs,How UPI&#39;s Bold Business STRATEGY will KILL VISA and MASTERCARD? : UPI CREDIT LINKING EXPLAINED,2022-06-17
120,AzJKWgCCPh0,Maharana Pratap&#39;s Story that is erased from Indian History | What happend after Haldighati battle?,2021-05-08
121,Wf6X-50OQdE,Netaji Subash Chandra Bose: What Schools don&#39;t teach you about India&#39;s Real Hero!,2022-01-21
122,BxDmbGFABJw,What made Walmart the most powerful business Empire worth $559 Billion ? : Business case study,2021-07-30
123,nnwqtZiYMxQ,"How Amul beat its competition &amp; made 39,200 Cr during Lockdown? : Business case study",2021-08-03
124,76w6GQ1vs1Y,What are the FARM BILLS &amp; Why are farmers protesting? (History &amp; Concepts Explained),2020-10-04
125,BIn1AzZsQUU,How USA uses the EVIL WAR strategy to Manipulate the World? : US War Business strategy exposed,2022-06-21
126,7lqGQ17A2c4,How Adani Vs Reliance Vs Airtel&#39;s 5G Race shape the future of India? : 5G Business case study,2022-10-11
127,RJRYLrkvOyA,How ADANI&#39;s Genius CASH FLOW STRATEGY fuelled the SUPERFAST expansion of ADANI Group? : Case study,2022-07-23
128,r5OCFaXqS5I,How MAGGI&#39;s GENIUS Marketing Strategy made it a Market Leader?: Nestle Business Case Study,2021-12-10
129,6-tS7-IhCbI,The Genius Marketing Strategy of Marlboro Cigarettes | Business Marketing Case study,2021-03-30
130,k-51exmR9R4,Why are Indian Startups Failing Miserably? : Business lessons from Indian start up Crash EXPLAINED,2022-07-08
131,icjoSeNEOx0,How RBI&#39;s STRATEGY will KILL the US DOLLAR dominance in the world economy? : Rupee Vs Dollar War,2022-07-15
132,5LGvQaYB67I,How HDFC&#39;s Genius strategies KILLED the Banking Monopolies in India? : Business Case study,2022-02-01
133,IBbz8sjVz6I,How Putin&#39;s WAR STRATEGY is KILLING Europe and US? : War Strategy Case study ( Russia vs Europe),2022-07-29
134,31UVvKEYO6k,How Aman Gupta&#39;s MARKETING STRATEGY turned Boat into a 1500CR Company : Business case study,2022-01-28
135,DzZCVqrtXYw,How ITC&#39;s Business STRATEGY revolutionised Indian Agriculture? : Business case study,2021-10-15
136,ycLO5Oa5ZI8,Why Telecom Draft Bill 2022 is a disaster in the making? : Telecom draft bill 2022 Case study,2022-11-18
137,I7vz7Ym82_4,How India is TRAPPING China with its Military STRATEGY? : Geopolitical Case study,2022-05-15
138,yxC9kgS8lnQ,The GREAT INDIAN SPORTS WAR : Puma vs Adidas vs Nike,2021-12-03
139,VPFGqmFTKSM,Why are GIANT Edtech companies FAILING in India? : Edtech Crash Case study,2022-06-10
140,1qEZwj_Iacw,What is India&#39;s SECRET strategy to build the BEST HEALTHCARE network in the world ? : UHI Case study,2022-11-16
141,qL4DvHZUPfc,What is the Hidden truth of Paytm’s Buyback Strategy? : Business case study,2023-01-22
142,nPrVYCtJfgQ,Why Elon Musk is WRONG about TWITTER and FREE speech? : Business Case Study,2022-11-22
143,SGpTBKbGcQ8,How PAKISTAN committed SUICIDE with its ECONOMY ? : Pakistani Economic Crisis case study,2022-04-19
144,cXFn7FBgktA,Why is Europe facing a BANKING CRISIS like 2008? : Credit Suisse Crisis Business case study,2022-10-07
145,r7JPdtYx4sg,Why RBI and Modi govt are failing to control inflation? : Indian Economics Case study,2023-01-19
146,HC5-z8kNC4c,How to Sell Anything in India? Cycle Pure Agarbatti Detailed Business Case Study,2023-01-24
147,mDRom6ahzsA,How Germany&#39;s SUBSIDY WAR is BREAKING the European Union and helping Russia? : Economic case study,2022-10-29
148,py0cfqlhTp8,How GATI SHAKTI MASTERPLAN will help India SNATCH factories from China? : Logistics Infra case study,2022-10-22
149,OKQDst5GUc0,The Death of BNPL (Buy Now Pay Later) Startups? : Multipl Business Case Study,2022-12-16
150,7QOLDRY_Uk4,How INDIGO AIRLINES became a MONOPOLY in Indian Aviation business : Monopoly series EP 3,2021-12-21
151,UL9dWIy2WZs,How Coca-Cola sold sugared water for over 100 years? | Marketing Casestudy,2020-10-11
152,WCJQ2PhzEOM,This is how Jeff Bezos&#39; Amazon beat their competition legitimately,2020-09-30
153,IxIi1xTx8zc,Zuckerberg is watching? How to safeguard your data from Facebook?,2021-01-13
154,t8v1aWCZYTE,How to earn money as a Freelancer in 2021 : A step-by-step Guide,2021-03-19
155,ODBJz87boBQ,Dhirubhai Ambani vs Bear Cartel | Stock Market Concepts EXPLAINED,2020-11-18
156,NM-WadrQqWE,How to end poverty in India : Cardano Case study from Ethiopia,2021-07-23
157,jGT6ob8hV6M,How Asian Paints Built MONOPOLY in the Indian market? : Indian Monopolies EP 1,2021-12-07
158,fTuVWwTQegQ,How could Zomato become Profitable? : Understanding the future of Foodtech in India,2021-07-09
159,6GWm2OyekXY,Don&#39;t Hustle!  DO THIS instead!,2020-09-16
160,t-VpFrqd0W0,How METAVERSE will CHANGE your LIFE? : Business Case Study + a Special Clip Attached,2022-01-18
161,fnO6UfeplxE,"How to Handle Criticism, Hate and Disrespect?",2021-04-30
162,ULhoofZmZmg,How China&#39;s most successful businessman Jack Ma&#39;s Alibaba beat the US giant eBay?,2020-09-05
163,B5txS_lC1yY,How Dmart&#39;s BUSINESS STRATEGY made Radhakishan Damani the Retail King of India?: Business Case study,2021-10-01
164,YvA5RFhmLNA,How Airbnb used Recession to become a 131 Billion Dollar Company?,2021-07-27
165,odiaekxLY0g,How Bajaj&#39;s GENIUS strategy made Bajaj Finance a GOLD MINE STOCK for investors?: Business case study,2022-01-07
166,3tVoKZ5pHMU,Indian Education System EXPOSED &amp; How can we fix it? (Rant by an Engineering College Student),2020-07-28
167,I9p5K2Ke2MA,How Microsoft KILLS its Competition Silently?: Business Strategy Case Study,2021-10-05
168,aEDjZvB3UZM,How India can change forever using Ethereum (Smart contracts)?,2021-06-25
169,3KkHTHZckEY,Why is Mukesh Ambani&#39;s Reliance Partnering with 7-Eleven Store chain? : Business strategy case study,2021-10-12
170,C2tjnJOy7Hw,How iPhone is Killing Apple? What is Tim Cook&#39;s STRATEGY to fix it? : Business case study,2022-01-14
171,bUFVJKwZYP4,Will Netflix survive the competition? Business Case Study,2021-06-08
172,ERN8MZl-2pw,Complete Business Analysis of Electric Mobility Sector using the 3 Lenses of Innovation,2021-08-10
173,to2DUQXtk1M,Petrol Price Hike &amp; What Indian Stock Market Investors Must Do? (Ethanol Blending Case Study Brazil),2021-08-06
174,8mef_bxijJk,Henry Ford&#39;s Business STRATEGY made FORD a billion dollar company : Business Case study,2021-09-21
175,EUcVBDtJo5M,CRED&#39;s Genius Business Model EXPLAINED,2021-04-13
176,ebxaYgw8Nfw,How to run an Airline business profitably for 47 years &amp; counting: Southwest Airlines CaseStudy,2021-08-31
177,XZxQtzUi6d8,The Story Rebuilding of Singapore: Part 1,2021-06-29
178,rN0HrbDDmZ8,What Steve Jobs learnt from Nike&#39;s marketing campaign that beat it&#39;s rival Adidas,2020-10-24
179,nvN3cpi2Dgg,How to never get distracted?,2020-08-24
180,EdpoEmifW7M,How 7 Mumbai-based women Entrepreneurs made a 1600 Cr empire from 80Rs | Lijjat Papad Case Study,2021-05-18
181,upoKb50FiC4,Mensa&#39;s GENIUS E-Commerce strategy that made it the fastest unicorn in Indian BUSINESS HISTORY,2021-12-31
182,GTv4ixuAU3k,Learn to Speak English Fluently for FREE in the most practical way possible,2021-05-04
183,vguLPoLiFNg,Zerodha Case Study: Bootstrapped to Billion dollar valuation startup without advertisements!,2021-03-13
184,odPwOQI_O0Q,Train your mind to never get nervous in any situation  (Practical Steps),2020-08-16
185,ON-vFJbq1Vc,Decoding ZARA&#39;s Billion Dollar Business STRATEGY : Fashion Business Case Study,2021-08-27
186,cWsxSP3KGvs,Can India&#39;s National Education Policy (NEP 2020) transform the Indian Education System? (EXPLAINED),2020-08-06
187,k--beE42aDs,How to Read effectively like a CEO? (NOT Speed Reading),2021-03-26
188,HFzSK32G4OU,Business War: Spotify vs Apple Music vs YouTube Music,2021-07-20
189,6DEOW9ZQ2BI,NIKE&#39;s Unusual Business Strategy to to Market itself &amp; make Billions? (Business STRATEGY Case Study),2021-10-19
190,AzJKWgCCPh0,Maharana Pratap&#39;s Story that is erased from Indian History | What happend after Haldighati battle?,2021-05-08
191,Wf6X-50OQdE,Netaji Subash Chandra Bose: What Schools don&#39;t teach you about India&#39;s Real Hero!,2022-01-21
192,BxDmbGFABJw,What made Walmart the most powerful business Empire worth $559 Billion ? : Business case study,2021-07-30
193,nnwqtZiYMxQ,"How Amul beat its competition &amp; made 39,200 Cr during Lockdown? : Business case study",2021-08-03
194,76w6GQ1vs1Y,What are the FARM BILLS &amp; Why are farmers protesting? (History &amp; Concepts Explained),2020-10-04
195,r5OCFaXqS5I,How MAGGI&#39;s GENIUS Marketing Strategy made it a Market Leader?: Nestle Business Case Study,2021-12-10
196,6-tS7-IhCbI,The Genius Marketing Strategy of Marlboro Cigarettes | Business Marketing Case study,2021-03-30
197,DzZCVqrtXYw,How ITC&#39;s Business STRATEGY revolutionised Indian Agriculture? : Business case study,2021-10-15
198,yxC9kgS8lnQ,The GREAT INDIAN SPORTS WAR : Puma vs Adidas vs Nike,2021-12-03
199,M9L72ssQAmU,"How JOCKEY&#39;s STRATEGY made it a MULTIBAGGER with 14,000% returns? | Page Industries Case Study",2022-01-11
